TCP Optimizer,  choco install tcpoptimizer, Optimizes network, Optimizer, choco
Putty, choco install putty, SSH client, SSH, choco
Pycharm, choco install pycharm, Python editor, Programming, choco
Rufus, choco install rufus, Bootable USB creator, Tools, choco
Super Position, Super Position.ps1, Benchmark, Benchmark, local
Total Reg, Total Reg.ps1, Registry editor, Registry, local
User Benchmark, User Benchmark Installer.ps1, Benchmark, Benchmark, local
Instant Mesh, Instant Mesh.ps1, 3D editor, 3D, local
Ghidra, ghidra_10.4_PUBLIC.ps1, Decompiler, Decompiler, local
MSI Afterburner, choco install msiafterburner, GPU overclocker, Overclock, choco
MSI Kombustor, MSI Kombustor4 Setup.ps1, GPU stress test, Stress, local
Medal, medal.ps1, Game recorder, Recording, local
Nyrna, Nyrna Portable.ps1, Game Development, Game, local
Soundlock, soundlock.ps1, Sound limiter, Sound, local
Space Sniffer, choco install spacesniffer, Disk analyzer, Tools, choco
Twitch Downloader, TwitchDownloaderGUI.ps1, Video downloader, Download, local
Asset Studio, assetstudio.ps1, Unity Extractor, 3D, local
AutoDesk Maya, AUTODESK MAYA 2023.ps1, 3D editor, 3D, local
LDPlayer, ldplayer.ps1, Android emulator, Emulator, local
GPU-Z, choco install gpu-z, GPU monitor, Monitor, choco
IDA Pro 7, IDA Portable 7.0.17.914.ps1, Decompiler, Decompiler, local
OOSU10, OOSU10.ps1, Windows 10 optimizer, Optimizer, local
Marmoset Toolbag, Marmoset Toolbag 4.0.ps1, 3D editor, 3D, local
NVidia Profile Inspector, Nvidia Profile Inspector.ps1, NVidia settings, Settings, local
F3D, f3d.ps1, 3D viewer, 3D, local
Headshot for CC4, Headshot 1.0.0506.1 For CC4.ps1, CC4 Plugin, 3D, local
Parsehub, parsehub-setup.ps1, Web scraper, Web, local
Simp Slayer, Simp Slayer.ps1, Edgy Game, Game, local
Registry Cleaner, Registry Cleaner.ps1, Registry cleaner, Registry, local
Scanlines 4 Windows, Scanlines 4 Windows.ps1, Scanlines for windows, Fun, local
Decker, Decker.ps1, Book like game, Game, local
Speedfan, choco install speedfan, Fan controller, Fan, choco
Jesus Strikes Back 2, JSB2.ps1, Edgy Game, Game, local
Core Temp, choco install coretemp, CPU monitor, Monitor, choco
CRT View, CRTView.ps1, Makes windows look like a CRT, Fun, local
Notepad ++, choco install notepadplusplus, Text editor, Text, choco
ShaderGlass, Shader Glass.ps1, Shader editor, Fun, local
Video Corrupter, Video Corrupter.ps1, Corrupts videos, Fun, local
Task Ticker, TaskTicker.ps1, Taskbar ticker, Productivity, local
VCR Effect, VCR effect.ps1, Makes windows look like a VCR, Fun, local
oalinst, oalinst.ps1, OpenAL installer, Sound, local
Screen2Gif, ScreenToGif.ps1, Gif maker, Gif, local
Reallusion CC4, Reallusion.ps1, 3D editor, 3D, local
Sharp Mono Injector, SharpMonoInjector.ps1, Game modding, Game, local
Image to Pixel, Image2Pixel.ps1, Pixel art maker, Art, local
MuEditor, MuEditor 1.2.0.ps1, Music editor, Music, local
GOG Galaxy, choco install goggalaxy, Game launcher, Gaming, choco
Resharper, JetBrains ReSharper 2023.1.4.ps1, VS plugin for resharper, Programming, local
Resharper C++, JetBrains ReSharper Cpp 2023.1.4.ps1, VS plugin for resharper, Programming, local
Photoshop Plugins Pack, Photoshop Plugins 8.55.01.ps1, Photoshop plugins, Image, local
IClone 8, Reallusion iClone 8.01.ps1, 3D editor, 3D, local
Stable Diffusion Web UI, Stable Diffusion Web UI.ps1, Web UI, Web, local
VBCable, vbcable.ps1, Virtual audio cable, Sound, local
Multiviewer, Multiviewer 2.1.ps1, Multi viewer, Viewer, local
Hacking Tools, Hacking Tools.ps1, Hacking tools, Hacking, local
Whisper Desktop, WhisperDesktop.ps1, Chat app, Chat, local
Western Digital Software, Install Western Digital Software for Windows.ps1, Western Digital Software, Tools, local
